epoch,loss,lr,epoch_seconds,cumulative_seconds,gpu_mem_gb
1,2.1451339632524205,0.00039045602067755436,3138.4,3138.4,1.078
2,1.6905688327177575,0.0003627583139031139,823.84,3962.27,1.078
3,1.58926628814574,0.0003196181241970303,823.92,4786.22,1.078
4,1.4968819141437804,0.0002652583139031134,826.03,5612.28,1.078
5,1.4671289373207432,0.00020500000000000065,825.76,6438.07,1.078
6,1.3824770840702727,0.00014474168609688565,825.91,7264.07,1.078
7,1.3477173147397112,9.038187580296868e-05,825.29,8089.4,1.078
8,1.311719594473786,4.724168609688616e-05,825.53,8914.95,1.078
9,1.2773820222736458,1.9543979322445667e-05,825.57,9740.56,1.078
10,1.2582202333105132,1e-05,854.47,10595.07,1.078
