epoch,loss,lr,epoch_seconds,cumulative_seconds,gpu_mem_gb
1,2.0691075720593686,0.0015610899304546449,3127.82,3127.82,1.078
2,1.6740996540006632,0.0014481685105280804,823.01,3950.85,1.078
3,1.5575899670909985,0.0012722892755725119,824.21,4775.09,1.078
4,1.456739052477122,0.0010506685105280817,824.66,5599.78,1.078
5,1.3938016537582767,0.000804999999999998,824.85,6424.67,1.078
6,1.3008268902215554,0.000559331489471915,824.15,7248.89,1.078
7,1.2565661192332476,0.00033771072442748167,825.09,8074.02,1.078
8,1.179937140987946,0.0001618314894719164,825.94,8899.99,1.078
9,1.135295532692636,4.891006954535331e-05,824.58,9724.61,1.078
10,1.1131585194662803,1e-05,856.74,10581.39,1.078
